"StopWord","Count"
"of",87
"high",83
"with",68
"in",62
"and",44
"on",26
"to",24
"right",21
"for",17
"no",10
"back",8
"the",8
"had",7
"as",5
"by",5
"showed",5
"was",5
"an",4
"at",4
"both",4
"he",4
"now",4
"small",4
"associated",3
"not",3
"possible",3
"side",3
"years",3
"above",2
"done",2
"from",2
"has",2
"last",2
"may",2
"seen",2
"then",2
"there",2
"use",2
"which",2
"be",1
"but",1
"did",1
"during",1
"end",1
"fifth",1
"following",1
"her",1
"his",1
"is",1
"it",1
"large",1
"more",1
"mr",1
"new",1
"open",1
"per",1
"place",1
"presented",1
"presenting",1
"presents",1
"put",1
"several",1
"she",1
"showing",1
"since",1
"some",1
"that",1
"under",1
"us",1
"uses",1
"well",1
"young",1
